V1	size	type
36975.4747830642	0.5k	unweighted parsed
36902.3127753054	0.5k	unweighted parsed
36917.0203524756	0.5k	unweighted parsed
37004.1309033344	0.5k	unweighted parsed
36925.5664219532	0.5k	unweighted parsed
37028.9721880499	0.5k	unweighted parsed
37054.4268249274	0.5k	unweighted parsed
36981.1284177521	0.5k	unweighted parsed
36965.5204619924	0.5k	unweighted parsed
36967.0385563673	0.5k	unweighted parsed
36980.3185354602	0.5k	unweighted parsed
36859.9274677208	0.5k	unweighted parsed
36853.9129437	0.5k	unweighted parsed
36911.7869180002	0.5k	unweighted parsed
37060.7996261529	0.5k	unweighted parsed
37135.24617951	0.5k	unweighted parsed
36977.0385528282	0.5k	unweighted parsed
36953.0902801028	0.5k	unweighted parsed
37046.3083496419	0.5k	unweighted parsed
36966.7029565657	0.5k	unweighted parsed
36917.7967691585	0.5k	unweighted parsed
36982.353457447	0.5k	unweighted parsed
36991.7965775828	0.5k	unweighted parsed
36983.5491040345	0.5k	unweighted parsed
36957.6888835645	0.5k	unweighted parsed
36943.8087518026	0.5k	unweighted parsed
36883.5715510777	0.5k	unweighted parsed
36975.6116240289	0.5k	unweighted parsed
36965.489920098	0.5k	unweighted parsed
36948.4257717746	0.5k	unweighted parsed
36962.3602942414	0.5k	unweighted parsed
36954.6855639825	0.5k	unweighted parsed
36958.5762838311	0.5k	unweighted parsed
36944.1473522037	0.5k	unweighted parsed
37047.0728516807	0.5k	unweighted parsed
36949.3309371887	0.5k	unweighted parsed
36958.3313426905	0.5k	unweighted parsed
36951.4970146674	0.5k	unweighted parsed
37004.2091245937	0.5k	unweighted parsed
37017.495234459	0.5k	unweighted parsed
36869.4615256069	0.5k	unweighted parsed
36920.1782363366	0.5k	unweighted parsed
37015.3415990578	0.5k	unweighted parsed
36970.2332009533	0.5k	unweighted parsed
37012.8995887217	0.5k	unweighted parsed
36934.9478303707	0.5k	unweighted parsed
36995.3663445423	0.5k	unweighted parsed
36922.6763096284	0.5k	unweighted parsed
36940.9249556837	0.5k	unweighted parsed
36962.2230297985	0.5k	unweighted parsed
36898.6362382606	0.5k	unweighted parsed
37001.1805856072	0.5k	unweighted parsed
36998.1885961958	0.5k	unweighted parsed
36943.9874497156	0.5k	unweighted parsed
36961.1757945309	0.5k	unweighted parsed
36937.5030353332	0.5k	unweighted parsed
37130.9465613229	0.5k	unweighted parsed
36942.8364944732	0.5k	unweighted parsed
36989.6600576627	0.5k	unweighted parsed
37132.2314500486	0.5k	unweighted parsed
37118.0287204236	0.5k	unweighted parsed
36999.1027739878	0.5k	unweighted parsed
37062.7867012768	0.5k	unweighted parsed
36967.8078619814	0.5k	unweighted parsed
37075.3312681489	0.5k	unweighted parsed
36930.461715983	0.5k	unweighted parsed
36887.4163216619	0.5k	unweighted parsed
36959.4319319956	0.5k	unweighted parsed
36967.1349022814	0.5k	unweighted parsed
36889.9808109615	0.5k	unweighted parsed
36962.9508370634	0.5k	unweighted parsed
37093.221671045	0.5k	unweighted parsed
36876.500091224	0.5k	unweighted parsed
36914.9707320713	0.5k	unweighted parsed
36965.9256553653	0.5k	unweighted parsed
36989.4175738128	0.5k	unweighted parsed
36916.3586205951	0.5k	unweighted parsed
37024.2470055073	0.5k	unweighted parsed
36895.7819411816	0.5k	unweighted parsed
36984.8106000065	0.5k	unweighted parsed
37005.2901165534	0.5k	unweighted parsed
37057.0370768019	0.5k	unweighted parsed
36967.6680176622	0.5k	unweighted parsed
37047.346255728	0.5k	unweighted parsed
37046.4302121276	0.5k	unweighted parsed
36947.1907034023	0.5k	unweighted parsed
37063.5150557156	0.5k	unweighted parsed
36849.5682474369	0.5k	unweighted parsed
36913.1103196147	0.5k	unweighted parsed
37109.1131210567	0.5k	unweighted parsed
36924.699491171	0.5k	unweighted parsed
36956.7029646156	0.5k	unweighted parsed
36888.1549661206	0.5k	unweighted parsed
36993.9896080245	0.5k	unweighted parsed
36899.461860695	0.5k	unweighted parsed
36973.0775910675	0.5k	unweighted parsed
36963.4321147063	0.5k	unweighted parsed
36962.9979059946	0.5k	unweighted parsed
36837.1032232249	0.5k	unweighted parsed
36942.5037173765	0.5k	unweighted parsed
36974.5822520899	0.5k	unweighted parsed
36872.2350638087	0.5k	unweighted parsed
36869.2243927212	0.5k	unweighted parsed
36996.4960228372	0.5k	unweighted parsed
36936.9818227461	0.5k	unweighted parsed
36954.8840599698	0.5k	unweighted parsed
36973.7155376851	0.5k	unweighted parsed
36993.5292192365	0.5k	unweighted parsed
36956.7376095361	0.5k	unweighted parsed
36920.8246729556	0.5k	unweighted parsed
36939.0583605321	0.5k	unweighted parsed
