V1	size	type
104396.099913441	0.5k	unweighted parsed
104254.84562359	0.5k	unweighted parsed
104263.457973629	0.5k	unweighted parsed
104828.907138875	0.5k	unweighted parsed
104537.505122889	0.5k	unweighted parsed
104279.498828556	0.5k	unweighted parsed
104320.510858763	0.5k	unweighted parsed
105243.91361675	0.5k	unweighted parsed
103955.000537222	0.5k	unweighted parsed
104622.299960293	0.5k	unweighted parsed
105368.894441586	0.5k	unweighted parsed
105151.763558509	0.5k	unweighted parsed
104584.446253949	0.5k	unweighted parsed
104714.30819012	0.5k	unweighted parsed
104618.190563091	0.5k	unweighted parsed
104716.918800107	0.5k	unweighted parsed
104452.686554919	0.5k	unweighted parsed
104086.530396799	0.5k	unweighted parsed
104368.921674374	0.5k	unweighted parsed
104354.265993189	0.5k	unweighted parsed
104186.52385385	0.5k	unweighted parsed
104228.295291594	0.5k	unweighted parsed
104942.619123618	0.5k	unweighted parsed
104020.168568373	0.5k	unweighted parsed
104279.394191573	0.5k	unweighted parsed
104541.741654295	0.5k	unweighted parsed
104530.538913021	0.5k	unweighted parsed
104403.201838625	0.5k	unweighted parsed
104534.690207434	0.5k	unweighted parsed
103922.339669549	0.5k	unweighted parsed
104478.205492723	0.5k	unweighted parsed
104782.819501198	0.5k	unweighted parsed
104805.468571466	0.5k	unweighted parsed
104617.478274642	0.5k	unweighted parsed
104832.903482862	0.5k	unweighted parsed
104690.393670555	0.5k	unweighted parsed
104164.15340887	0.5k	unweighted parsed
104844.504700147	0.5k	unweighted parsed
104002.511852279	0.5k	unweighted parsed
103898.233813272	0.5k	unweighted parsed
105023.850151615	0.5k	unweighted parsed
104401.264438155	0.5k	unweighted parsed
104344.648587183	0.5k	unweighted parsed
104093.331981668	0.5k	unweighted parsed
104490.701532474	0.5k	unweighted parsed
104227.26356566	0.5k	unweighted parsed
104256.226457124	0.5k	unweighted parsed
104530.199417326	0.5k	unweighted parsed
104541.717832047	0.5k	unweighted parsed
104069.586952659	0.5k	unweighted parsed
104465.686876769	0.5k	unweighted parsed
104592.128841232	0.5k	unweighted parsed
103997.772841303	0.5k	unweighted parsed
104466.728729976	0.5k	unweighted parsed
104483.332092039	0.5k	unweighted parsed
104363.807473451	0.5k	unweighted parsed
104299.588074479	0.5k	unweighted parsed
104565.659192822	0.5k	unweighted parsed
104564.744466453	0.5k	unweighted parsed
104661.144023393	0.5k	unweighted parsed
104512.15393056	0.5k	unweighted parsed
104207.084934134	0.5k	unweighted parsed
104679.347525046	0.5k	unweighted parsed
104051.453746387	0.5k	unweighted parsed
104855.398436565	0.5k	unweighted parsed
104493.691125353	0.5k	unweighted parsed
104942.40614492	0.5k	unweighted parsed
103993.80270112	0.5k	unweighted parsed
104385.096614067	0.5k	unweighted parsed
104097.194773718	0.5k	unweighted parsed
104680.371446446	0.5k	unweighted parsed
103993.890016314	0.5k	unweighted parsed
104183.224691282	0.5k	unweighted parsed
104542.474937397	0.5k	unweighted parsed
104296.079391369	0.5k	unweighted parsed
104770.758653774	0.5k	unweighted parsed
104207.043490388	0.5k	unweighted parsed
103848.829295712	0.5k	unweighted parsed
104493.420790256	0.5k	unweighted parsed
104888.375477391	0.5k	unweighted parsed
104683.240168922	0.5k	unweighted parsed
104546.237079123	0.5k	unweighted parsed
104759.220431677	0.5k	unweighted parsed
104828.862094837	0.5k	unweighted parsed
104615.81156758	0.5k	unweighted parsed
104519.688952678	0.5k	unweighted parsed
104038.069825273	0.5k	unweighted parsed
104082.830225777	0.5k	unweighted parsed
104624.986074529	0.5k	unweighted parsed
104689.664085788	0.5k	unweighted parsed
104539.838140767	0.5k	unweighted parsed
104087.850768644	0.5k	unweighted parsed
104503.665426394	0.5k	unweighted parsed
103842.854491811	0.5k	unweighted parsed
104667.521099559	0.5k	unweighted parsed
104413.650006613	0.5k	unweighted parsed
104099.047779882	0.5k	unweighted parsed
104276.592251081	0.5k	unweighted parsed
104433.959829369	0.5k	unweighted parsed
104076.751879676	0.5k	unweighted parsed
104238.276665436	0.5k	unweighted parsed
105015.402968908	0.5k	unweighted parsed
